ativo,quantidade,preco,data_negociacao,tipo_de_ordem,fonte,dono,custo,moeda
IRBR3,-967,0,20230125,agrupamento,IRBR3,rodrigo,0,real
ITSA4,600,8.85,20221111,compra,rodrigo,rodrigo,0,real
ITSA4,500,8.85,20221111,compra,rodrigo,rodrigo,0,real
ITSA4,60,0,20221111,bonus_em_acoes,ITSA4,rodrigo,0,real
MGLU3,100,3.51,20221111,compra,rodrigo,rodrigo,0,real
ITSA4,400,9.84,20221110,compra,rodrigo,rodrigo,0,real
BBAS3,100,36.40,20221110,compra,rodrigo,rodrigo,0,real
ITUB4,100,27.12,20221110,compra,rodrigo,rodrigo,0,real
ITSA4,200,10.50,20221107,compra,rodrigo,rodrigo,0,real
CMIG4,200,11.65,20221107,compra,rodrigo,rodrigo,0,real
IRBR3,1000,1.0,20221104,compra,rodrigo,rodrigo,0,real
TAEE3,300,13.23,20221103,compra,rodrigo,rodrigo,0,real
MMM,20,102.32,20230620,compra,rodrigo,rodrigo,3.0,dolar
MMM,5,102.32,20230620,compra,dayane,dayane,0.75,dolar
TAEE4,400,11.69,20230811,compra,rodrigo,rodrigo,0,real
SUZB3,100,49.80,20230811,compra,rodrigo,rodrigo,0,real
AESB3,300,10.99,20230927,compra,rodrigo,rodrigo,0.98,real
RANI3,100,12.21,20230927,compra,rodrigo,rodrigo,0.37,real
TRPL4,200,22.68,20230927,compra,rodrigo,rodrigo,1.36,real
MXRF11,100,10.92,20230927,compra,rodrigo,rodrigo,0.32,real
RANI3,100,12.24,20230927,compra,dayane,dayane,0.36,real
AESB3,100,10.98,20230927,compra,dayane,dayane,0.32,real
CPLE3,100,8.24,20230928,compra,rodrigo,rodrigo,0.24,real
CPLE3,100,8.25,20230928,compra,dayane,dayane,0.24,real
RANI3,200,10.74,20231113,compra,rodrigo,rodrigo,0.64,real
ITSA4,88,0,20231130,bonus_em_acoes,ITSA4,rodrigo,0,real
XOM,5,103.21,20231220,compra,rodrigo,rodrigo,1.25,dolar
CVX,3,152.27,20231220,compra,rodrigo,rodrigo,1.25,dolar
PG,3,145.67,20231220,compra,rodrigo,rodrigo,1.25,dolar
JNJ,3,155.73,20231220,compra,rodrigo,rodrigo,1.25,dolar
T,30,16.55,20231220,compra,rodrigo,rodrigo,1.25,dolar
JNJ,1,155.12,20231220,compra,dayane,dayane,1.25,dolar
XOM,1,102.91,20231220,compra,dayane,dayane,1.25,dolar
CVX,1,152.83,20231220,compra,dayane,dayane,1.25,dolar
T,2,16.56,20231220,compra,dayane,dayane,1.25,dolar
BBDC4,1000,13.76,20240229,compra,rodrigo,rodrigo,4.12,real
SAPR4,1000,5.20,20240229,compra,rodrigo,rodrigo,1.56,real
RANI3,1000,8.70,20240311,compra,rodrigo,rodrigo,2.60,real
